Player,Team
Akeal Hosein,Chennai Super Kings
Anshul Kamboj,Chennai Super Kings
Ayush Mhatre,Chennai Super Kings
Dewald Brevis,Chennai Super Kings
Gurjapneet Singh,Chennai Super Kings
Jamie Overton,Chennai Super Kings
Kartik Sharma,Chennai Super Kings
Khaleel Ahmed,Chennai Super Kings
Matt Henry,Chennai Super Kings
Matthew Short,Chennai Super Kings
Mukesh Choudhary,Chennai Super Kings
Noor Ahmad,Chennai Super Kings
Prashant Veer,Chennai Super Kings
Rahul Chahar,Chennai Super Kings
Ruturaj Gaikwad,Chennai Super Kings
Sanju Samson,Chennai Super Kings
Sarfaraz Khan,Chennai Super Kings
Shivam Dube,Chennai Super Kings
Ashutosh Sharma,Delhi Capitals
Auqib Nabi,Delhi Capitals
Axar Patel,Delhi Capitals
David Miller,Delhi Capitals
Karun Nair,Delhi Capitals
Kuldeep Yadav,Delhi Capitals
Lungi Ngidi,Delhi Capitals
Mukesh Kumar,Delhi Capitals
Natarajan,Delhi Capitals
Nitish Rana,Delhi Capitals
Pathum Nissanka,Delhi Capitals
Rahul,Delhi Capitals
Sameer Rizvi,Delhi Capitals
Tristan Stubbs,Delhi Capitals
Vipraj Nigam,Delhi Capitals
Ashok Sharma,Gujarat Titans
Glenn Phillips,Gujarat Titans
Jos Buttler,Gujarat Titans
Kagiso Rabada,Gujarat Titans
Kumar Kushagra,Gujarat Titans
Mohammed Siraj,Gujarat Titans
Prasidh Krishna,Gujarat Titans
Rahul Tewatia,Gujarat Titans
Rashid Khan,Gujarat Titans
Sai Sudharsan,Gujarat Titans
Shahrukh Khan,Gujarat Titans
Shubman Gill,Gujarat Titans
Washington Sundar,Gujarat Titans
Ajinkya Rahane,Kolkata Knight Riders
Angkrish Raghuvanshi,Kolkata Knight Riders
Anukul Roy,Kolkata Knight Riders
Blessing Muzarabani,Kolkata Knight Riders
Cameron Green,Kolkata Knight Riders
Finn Allen,Kolkata Knight Riders
Kartik Tyagi,Kolkata Knight Riders
Navdeep Saini,Kolkata Knight Riders
Ramandeep Singh,Kolkata Knight Riders
Rinku Singh,Kolkata Knight Riders
Rovman Powell,Kolkata Knight Riders
Sunil Narine,Kolkata Knight Riders
Tim Seifert,Kolkata Knight Riders
Vaibhav Arora,Kolkata Knight Riders
Varun Chakaravarthy,Kolkata Knight Riders
Abdul Samad,Lucknow Super Giants
Aiden Markram,Lucknow Super Giants
Anrich Nortje,Lucknow Super Giants
Avesh Khan,Lucknow Super Giants
Ayush Badoni,Lucknow Super Giants
Digvesh Singh Rathi,Lucknow Super Giants
George Linde,Lucknow Super Giants
Himmat Singh,Lucknow Super Giants
Manimaran Siddharth,Lucknow Super Giants
Mitchell Marsh,Lucknow Super Giants
Mohammed Shami,Lucknow Super Giants
Mohsin Khan,Lucknow Super Giants
Mukul Choudhary,Lucknow Super Giants
Nicholas Pooran,Lucknow Super Giants
Prince Yadav,Lucknow Super Giants
Rishabh Pant,Lucknow Super Giants
Shahbaz Ahmed,Lucknow Super Giants
AM Ghazanfar,Mumbai Indians
Corbin Bosch,Mumbai Indians
Deepak Chahar,Mumbai Indians
Hardik Pandya,Mumbai Indians
Jasprit Bumrah,Mumbai Indians
Mayank Markande,Mumbai Indians
Mitchell Santner,Mumbai Indians
Naman Dhir,Mumbai Indians
Quinton de Kock,Mumbai Indians
Rohit Sharma,Mumbai Indians
Ryan Rickelton,Mumbai Indians
Shardul Thakur,Mumbai Indians
Sherfane Rutherford,Mumbai Indians
Suryakumar Yadav,Mumbai Indians
Tilak Varma,Mumbai Indians
Trent Boult,Mumbai Indians
Arshdeep Singh,Punjab Kings
Cooper Connolly,Punjab Kings
Marco Jansen,Punjab Kings
Marcus Stoinis,Punjab Kings
Nehal Wadhera,Punjab Kings
Prabhsimran Singh,Punjab Kings
Priyansh Arya,Punjab Kings
Shashank Singh,Punjab Kings
Shreyas Iyer,Punjab Kings
Vijaykumar Vyshak,Punjab Kings
Xavier Bartlett,Punjab Kings
Yuzvendra Chahal,Punjab Kings
Bishnoi,Rajasthan Royals
Brijesh Sharma,Rajasthan Royals
Dhruv Jurel,Rajasthan Royals
Donovan Ferreira,Rajasthan Royals
Jaiswal,Rajasthan Royals
Jofra Archer,Rajasthan Royals
Lhuan-dre Pretorius,Rajasthan Royals
Nandre Burger,Rajasthan Royals
Ravi Bishnoi,Rajasthan Royals
Ravindra Jadeja,Rajasthan Royals
Riyan Parag,Rajasthan Royals
Sandeep Sharma,Rajasthan Royals
Shimron Hetmyer,Rajasthan Royals
Tushar Deshpande,Rajasthan Royals
Vaibhav Sooryavanshi,Rajasthan Royals
Yash Raj Punja,Rajasthan Royals
Yashasvi Jaiswal,Rajasthan Royals
Abhinandan Singh,Royal Challengers Bengaluru
Bhuvneshwar Kumar,Royal Challengers Bengaluru
Devdutt Padikkal,Royal Challengers Bengaluru
Jacob Duffy,Royal Challengers Bengaluru
Jitesh Sharma,Royal Challengers Bengaluru
Josh Hazlewood,Royal Challengers Bengaluru
Krunal Pandya,Royal Challengers Bengaluru
Phil Salt,Royal Challengers Bengaluru
Rajat Patidar,Royal Challengers Bengaluru
Rasikh Salam Dar,Royal Challengers Bengaluru
Romario Shepherd,Royal Challengers Bengaluru
Suyash Sharma,Royal Challengers Bengaluru
Tim David,Royal Challengers Bengaluru
Venkatesh Iyer,Royal Challengers Bengaluru
Virat Kohli,Royal Challengers Bengaluru
Abhishek Sharma,Sunrisers Hyderabad
Aniket Verma,Sunrisers Hyderabad
David Payne,Sunrisers Hyderabad
Eshan Malinga,Sunrisers Hyderabad
Harsh Dubey,Sunrisers Hyderabad
Harshal Patel,Sunrisers Hyderabad
Heinrich Klaasen,Sunrisers Hyderabad
Ishan Kishan,Sunrisers Hyderabad
Jaydev Unadkat,Sunrisers Hyderabad
Liam Livingstone,Sunrisers Hyderabad
Nitish Reddy,Sunrisers Hyderabad
Praful Hinge,Sunrisers Hyderabad
Sakib Hussain,Sunrisers Hyderabad
Salil Arora,Sunrisers Hyderabad
Shivang Kumar,Sunrisers Hyderabad
Travis Head,Sunrisers Hyderabad
